question,answer
hand dryers kill coronavirus,hand dryers do not kill coronavirus. the best way to protect oneself and others from the virus is to wash the hands with soap and water or an alcohol-based hand rub.
what can i do to stop the spread?,wear a mask and stay far away from other people. that’s it. that’s the tweet.
how much is the peuc weekly benefit amount?,your peuc weekly benefit amount is the same as your regular uc weekly benefit rate. your weekly benefit rate is based on your reported earnings during the base year (the first four of the last five completed quarters). you must also have over 18 credit weeks (weeks during which you earned $116 or more) in your base year to be eligible for uc.click here to find out how to calculate your weekly benefit rate.
when will employers begin seeing the 50 percent reimbursements on the billings?,"the department will post the reimbursement to the billing period once the funding for that billing period has been received from the us treasury. the reimbursement amount will be reflected as a payment/credit on your account and will be applied to the appropriate billing period. if an over-payment exists after the 50% reimbursement is applied, a credit will be created that may be used to pay future benefit charge amounts due."
will the numbers go down the people with covid-19 are no longer symptomatic?,numbers of confirmed cases will continue to be counted as cases. our covid-19 table and covid-19 data and surveillance dashboard will always show cumulative totals. presumed recoveries are provided and updated on wednesdays on our covid-19 data and surveillance dashboard.
catch up on movies and tv that you enjoy.,"if you’re stuck inside, why not binge on your favorite shows? watch a few titles you’ve been wanting to see or re-watch all of your favorites. if you have people living with you, make it a party. netflix is offering a service called “netflix party” that allows you to watch a show along with friends or family members who are in other homes."
what is community spread?,"community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected. source: centers for disease control and prevention drafted 11 march 2020"
"as a claimant trainee, how am i supposed to meet the requirement of having a school official sign my form every four weeks since my school is closed?","the requirement for the registrar to sign the form every four (4) weeks is waived until further notice. write ""<name of school> closed due to covid-19"" in the blank for the registrar’s signature."
what is the great plates delivered program?,"great plates delivered san mateo county will deliver three free  meals a day to older adults in san mateo county who are at  heightened risk due to covid-19 and are unable to obtain or  prepare meals on their own while sheltering in place during the  coronavirus outbreak. currently, great plates delivered is  only funded through september 9, 2020. learn more >>"
what is the process for evaluating the criticality of official travels and meetings?,un medical directors recommend that un managers and/or un personnel undertake a risk assessment to evaluate the criticality of the proposed travel balanced against the risks to the traveler for any travel to or meetings in affected areas experiencing ongoing transmission of covid-19.
take turns bringing “room service” to others in your home.,"if you’re living with other people, you can help each other get into the vacation groove even more by offering deluxe, hotel-style service. have a continental breakfast ready for your family when they get up, or take turns making the bed or changing out the towels in the bathroom. if you live alone, even making your own bed and putting a mint on the pillow can make you feel more like you’re on vacation!"
"following delivery, should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have covid-19?","yes. immediate and continued skin-to-skin care, including kangaroo mother care, improves the temperature control of newborns and is associated with improved survival among newborn babies. placing the newborn close to the mother also enables early initiation of breastfeeding which also reduces mortality.the numerous benefits of skin-to-skin contact and breastfeeding substantially outweigh the potential risks of transmission and illness associated with covid-19."
i’m a patient at a hospital. am i at risk for covid-19 from other patients?,"we recommend people with suspected covid-19 cases be in their own room in a healthcare setting. healthcare workers are trained to remove their personal protective equipment (ppe) and wash their hands after seeing a patient, so the infection doesn’t leave the room."
what mental health and substance use resources are available?,"if you or someone you know is experiencing challenges with  anxiety, panic, depression, alcohol and drug use or other  emotional distress, please visit san mateo county’s covid-19 mental  health resource page."
i don't have a printer. do you have the dimensions so i can draw out my own template?,this will vary based on your face size. approximately 5-6 inches high and approximately 8-10 inches wide.
are annual shareholder meetings and board of directors' meetings required to be in-person?,no. the michigan banking code of 1999 (code) does not require bank shareholders to meet in person and permits shareholders to vote by proxy. the code specifically permits boards of directors to meet “by means of electronic communication devices that enable all participants in a meeting to communicate with each other.”
are commercial driver's license (cdl) renewals and medical endorsements included among the options for an appointment?,"yes, commercial drivers who need to renew their cdl, medical endorsement or commercial plate (gvw) are advised to make an appointment to have their credential(s) renewed in-person. in addition, please note that under public act 127, 128, and 129, the deadline for renewing commercial driver and vehicle credentials, including medical and driver certifications and endorsements, that expired on or after march 1, 2020 has been extended to september 30, 2020. last updated: july 7, 2020"
whom do i contact if i have questions about manufacturing or distributing medical gloves?,"if you have read the enforcement policy guidance document as well as the information on this page and you have questions, send an email to cdrh-covid19-ppe@fda.hhs.gov."
i run a business; can my business stay open?,"during phase 3 of virginia’s plan for reopening (safer at home), many businesses may operate with extra precautions in place to protect people from covid-19 transmission. please review phase 3 guidelines for all business sectors to review requirements and recommendations for businesses. additional information about business operations during phase 3 can be found here."
will there be food shortages?,"there are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. food production and manufacturing are widely dispersed throughout the u.s. and there are currently no wide-spread disruptions reported in the supply chain."
where can i find the executive orders and administrative orders issued by the governor and the state?,executive orders issued by governor murphy can be found here. administrative orders issued by the state of new jersey can be found here.
what is herd immunity?,this is when enough people are immune to an infectious disease (because of a previous infection or vaccination) that the risk of infection in the population is lower.
my hours have been reduced. can i collect benefits under pua?,"if you are working fewer hours due to covid-19 and it has resulted in a loss in income, and you are not eligible for regular uc, you may be eligible for pua."
is prior approval required if my institution plans to divert staff from research to clinical work to care for covid-19 patients or to work on covid-19 research activities?,"prior approval is required for a significant change in the status of the pd/pi or senior/key personnel as outlined in the nih grants policy statement 8.1.2.6. if the pd/pi is absent from the project for a period of 3 months or more, recipients must notify the funding ic to identify a temporary replacement until the covid-19 public health emergency/pandemic has passed or the research will, by default, be placed on hold and the delays must be reported in the rppr."
wash your mask in the washing machine after every use.,"the warm water and soap are enough to kill any viruses that may have interacted with the outside of your mask. if you are using a bandana with a coffee filter in it, cut and use a new filter each time you put on your mask."
fact: eating garlic does not prevent covid-19,"garlic is a healthy food that may have some antimicrobial properties. however, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus."
typically providers require in-person visits for controlled substance refills. can these services be provided via telehealth or telephone during the covid-19 emergency?,"ahcccs has updated its telephonic and telehealth code sets to enable providers to be able to conduct visits remotely, including for controlled and non-controlled substance medication refills when clinically appropriate."
how do i report a business that is not following the current state health order?,"openings, closings, and canceling activities a: violations of the health orders should be reported to local law enforcement authorities. violators may be subject to criminal penalties for willful non-compliance with this order. see all covid-19 emergency actions taken by state agencies on our general counsel website."
"according to the defence team guide for managing and working remotely dated april 29, 2020, only employees providing essential services are allowed to work on dnd premises at this time. is this still the case? i have to work in the office.","the return to work process across the defence team will be asymmetrical. many factors need to be considered, including but not limited to the public health conditions in your part of the country. please consult with your manager or local coc to determine when you may return to the office."
break the frozen milk into chunks and add it to the mixing bowl.,"carefully chip the ice into large pieces with an ice pick, or bang the block of ice on the countertop firmly until it breaks up. then, place the chipped milk into the stainless steel or glass mixing bowl you prepared earlier.  if breaking up the ice doesn't work, you can let the milk thaw a little until it starts to get slushy—just make sure it stays very cold."
is there a cure?,"there’s currently no cure for the novel coronavirus. and while research and trials are underway, it could be next year before a vaccine becomes publicly available."
"what about using smokeless tobacco, like chewing tobacco?","using smokeless tobacco often involves some hand to mouth contact. another risk associated with using smokeless tobacco products, like chewing tobacco, is that the virus can be spread when the user spits out the excess saliva produced during the chewing process."
does the business guidance require transit riders to wear masks? what about riders participating in the medical assistance transportation program?,"transit riders should wear masks unless there is a medical reason that prevents them from wearing a mask, or unless they are unable to provide themselves with a mask or a suitable option (bandana, scarf, etc.) because of economic reasons. a transit company that is able to provide masks for its customers should make every attempt to do so."
get them outdoors.,"being cooped up indoors all day is no fun. while you need to stay at least 6 feet (1.8 m) away from people outside your household, you can take your loved one out in the yard or the neighborhood. avoid touching community objects like playgrounds, picnic tables, or gates."
i use tricare pharmacy home delivery to obtain my inhalers. what do i need to know?,"to get your refills, visit www.militaryrx.express-scripts.com to use the express scripts mobile app. you may also call express scripts at 1-877-363-1303."
"i am ill with covid-19, but my pet needs to see a veterinarian. what should i do?","contact your veterinarian to see how they wish to proceed. they may be able to help you by telephone or video conference, or they may require that a healthy person bring the pet in for evaluation. in order to best protect their staff, they will likely have special instructions for you and your pet upon arrival, such as keeping the pet in the car until time of examination; asking you to fill out paperwork from your car; and processing payment for services by telephone."
how do i report my work-related exposure to or illness from covid-19?,"as soon as you know that you have been exposed to covid-19 at work or have been diagnosed with covid-19 that you believe is related to your job, you should report your injury to your supervisor/employer within 21 days of the injury, or when you know of the injury, to be covered completely. you may give notice up to 120 days after the injury to be covered from the date you give notice."
which osha standards apply to employer protection of workers during the covid-19 pandemic?,"the standards page of osha's covid-19 safety and health topics page explains how osha standards apply to employer protection of workers from exposure to sars-cov-2, the virus that causes covid-19, during the pandemic."
should someone stay home for 14 days if they are sick but the doctor says they don't think it's the virus?,"it's better to be safe than sorry, so you should consider isolating yourself. good practice at the current time is to stay home when you feel sick, getting and staying healthy is a priority."
"if the government tells people to stay at home, what does this mean for in-home care agencies?","if this happens, you should follow their emergency preparedness plan and let local care partners know about in-home care clients who are at high risk to get worse."
can a person with covid-19 spread the disease without having symptoms?,"we are still learning about the virus, but we believe that the majority of spread is through symptomatic cases, but presymptomatic and asymptomatic spread may also occur. for that reason, it is critical for people to follow physical distancing recommendations, wear cloth face coverings, and wash their hands."
which masks are medical devices regulated by the fda?,"a. face masks marketed to the general public for general non-medical purposes, such as use in construction and other industrial applications, are not medical devices. face masks, when they are intended for a medical purpose such as source control (including uses related to covid-19) and surgical masks are medical devices."
will kids have access to school meals?,check with your school on plans to continue meal services during the school dismissal. many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.
check with the airlines if you had travel plans.,"if you were planning a destination wedding, had out-of-town guests, or were planning to fly to your honeymoon, call the airline and let them know you need to cancel all flights. currently, most airlines have waived the normal fees they charge for canceling or changing flights, so it's best to reach out to them sooner than later, in case that policy changes. if your guests had hotel rooms booked, they may be able to receive refunds for their canceled stay, as well."
find contract work that you can do from home.,"if you can write, edit, or do website design, you may be able to find jobs that don't require you to leave your home. make sure you have a good internet connection and access to a computer before checking out these websites and applying for freelance jobs that you can do on your own time. upwork is a freelance site where you can find jobs in copywriting, editing, and graphic design."
my disability claim is currently pending at the pennsylvania disability office (bdd) and the office is currently closed. what happens to my claim now?,"although our physical offices are currently closed to mitigate the spread of covid-19 in pennsylvania, we do have a limited number of employees who are teleworking and continue to process priority claims."
is it safe to attend events and gatherings?,"the department of public health has posted recommendations to mitigate the spread of covid-19, which are available here: covid-19 prevention and treatment."
what do these results mean?,"the results from the early seroepidemiologic studies, acknowledging the limitations described above, indicate that few people have evidence of infection thus far. this suggests that many people remain susceptible to infection, which is important in planning for subsequent resurgence in infection."
"when an employee has tested positive for covid-19, what type of cleaning is required?","facilities must clean and disinfect all spaces, especially commonly used rooms and shared electronic equipment. the centers for disease control and prevention (cdc) has established guidance on appropriate cleaning. businesses should also refer to the secretary’s april 6, 2020 order directing building safety measures available here"
will ahcccs permit providers located out of state to offer both emergency and non-emergency care to arizona medicaid and chip enrollees?,"yes. ahcccs has created a “short-form” for out-of-state providers in order to streamline the provider enrollment and approval processes for the duration of the emergency. the form, called the out-of-state packet, is posted on the ahcccs provider enrollment web page."
should we cancel our travel plans due to coronavirus (covid-19)?,"recommendations for travel change often. check the cdc's        website for the latest updates. talk to your doctor, and consider where you live,        where you're traveling to, and any medical conditions people in your family have."
what is an “elective” surgery or procedure?,"elective surgeries and procedures are those that are not urgent and can be rescheduled for a later date. examples include, but are not limited to:  laser surgery hernia repair non-emergent back surgery colonoscopies joint replacements mtfs and dtfs will continue to conduct surgeries and procedures to save lives and avoid further harm from underlying conditions or diseases, or where the risk of delaying the procedure outweighs all other considerations."
is nih providing flexibility for the required registrations for organizations to submit an application to nih?,"the office of management and budget (omb), in memo m-20-17, provided flexibility to relax the requirement for active system for award management (sam) registration at time of application for applicants affected by covid-19. this flexibility ended on june 16, 2020."
"does who advise the use of non-medical, fabric masks in the general public?","who recommends that people always consult local authorities on recommended practices in their area. if there is widespread community transmission, and especially in settings where physical distancing cannot be maintained, governments should encourage the general public to wear a fabric mask. who also provides details on the composition of a fabric mask and how to safely wear one."
stay at least 6 ft (1.8 m) away from other people when in public.,"you may need to go out in public for things like grocery shopping. try to maintain space between yourself and other community members just in case any of you are sick. it's possible to spread covid-19 before symptoms start, so play it safe by staying away."
what is covid-19?,"covid-19 is the infectious disease caused by the most recently discovered coronavirus. this new virus and disease were unknown before the outbreak began in wuhan, china, in december 2019. covid-19 is now a pandemic affecting many countries globally."
what does “acute” respiratory illness mean?,"“acute” respiratory illness is an infection of the upper or lower respiratory tract that may interfere with normal breathing, such as covid-19. “acute” means of recent onset (for example, for a few days), and is used to distinguish from chronic respiratory illnesses like asthma and chronic obstructive pulmonary disease (copd)."
can i register the birth of my child?,you are permitted to register the birth of your child. you should check whether your local register office is open. the office will also be able to advise you on appointment availability.
where can homeless persons in virginia find resources or obtain help?,homeless individuals can obtain help by calling 2-1-1 or the crisis assistance contact number in the area of the state where they are. the list of crisis assistance contacts can be found here. a map of crisis assistance contacts is located here.
who is at higher risk for serious illness from covid-19?,"covid-19 is a new disease and there is limited information regarding risk factors for severe disease. based on currently available information and clinical expertise, older adults and people with underlying medical conditions are at higher risk for severe illness from covid-19."
what if i am pregnant?,"cdc-issued guidance for people who are pregnant, breastfeeding, or caring for young children, including resources on how to protect yourself and your family from covid-19."
who is considered a close contact to someone with covid-19?,"for covid-19, a close contact is anyone who was within 6 feet of an infected person for at least 15 minutes. an infected person can spread covid-19 starting 48 hours (or 2 days) before the person had any symptoms or tested positive for covid-19."
how many hours per day or per week can an employee work?,the pa minimum wage act does not limit the number of hours that an employee over the age of 18 can be required to work.
will physical distancing measures in the office be dependent on travel? will restrictions differ for those who come in on public transit vs. personal or shared vehicles?,"physical distancing recommendations are in place regardless of how employees travel to work. in association with other phms - use of nmm, hand washing with soap, and following public health advice."
should i cancel my trip to georgia?,"with the situation continuing to evolve, we encourage our visitors traveling to and within the state to follow the most up-to-date information and guidance offered by the centers for disease control and prevention (cdc), georgia department of public health, and local authorities. travel health advisories: visit the cdc website. travel to or within georgia: please check travel alerts from your destination before your trip to ensure you have the most up-to-date information."
who will collect the samples from animals?,"after the decision is made to test, the state animal health officials will identify the appropriate person to collect the sample using appropriate personal protective equipment and sample collection methods (pdf, 9.5 mb)."
how will the forest service respond to wildfires?,"our essential mission functions, such as suppressing wildfires and other public health and safety responsibilities, will continue within appropriate risk management strategies, current guidance of the centers for disease control, and local health and safety guidelines. we are currently evaluating and updating our approach and strategies to prepared and respond to wildfires in light of the new risks presented by the coronavirus."
will tricare or the military pharmacy refill restrictions be waived so i can get my prescriptions filled sooner?,"at this time, there is no plan to waive refill restrictions to get prescriptions refilled early. tricare offers beneficiaries the option to get a 90-day supply of their drugs at military pharmacies, via tricare pharmacy home delivery, or at retail network pharmacies."
what dose was used in the recovery trial?,"dexamethasone was used in the recovery trial in oral (liquid or tablets) or intravenous preparation 6 mg once daily for ten days.in pregnancy or breastfeeding women, prednisolone 40 mg administered by mouth (or intravenous hydrocortisone 80 mg twice daily) should be used instead of dexamethasone.note: it is permitted to switch between the two routes of administration according to clinical circumstances.source: page 9 of 35 recovery [v6.0 2020-05-14] isrctn50189673 eudract 2020-001113-21"
give disinfectants and cleaning supplies to your local hospital.,"wipes, bleach spray, and hand sanitizer all protect hospital staff from getting infected with the virus. if you have any extras, you can give them to your local hospital or clinic so they can clean the rooms in between patients. remember to keep some cleaning supplies for yourself to clean your own home."
keep a gratitude journal to keep your thoughts positive.,"find an empty notebook or binder and write a daily log about what you’re feeling thankful for. while it’s easy to be overwhelmed, cataloguing your thoughts in a positive way can help you keep a more positive mindset around your partner, too.  for example, you can write something like “i’m thankful to have a partner who loves me,” or “i’m thankful to have a roof over my head.”"
work from home instead of your usual workplace.,"social distancing doesn’t just apply to your grocery runs—it’s an aspect that you should add to every part of your life. if possible, talk to you supervisors and see if working from home is a viable option, so you don’t risk spreading germs to your co-workers."
recognize symptoms that are common in both the flu and covid-19.,"the two illnesses are quite similar: both are spread through germs (usually via water droplets in the air from an infected person) and their symptoms are similar. both often involve:  fever cough, often a dry cough fatigue"
can sanitizing tunnels be used at building entrances or exits to prevent the spread of covid-19?,"cdc does not recommend the use of sanitizing tunnels. there is no evidence that they are effective in reducing the spread of covid-19. chemicals used in sanitizing tunnels could cause skin, eye, or respiratory irritation or damage."
"the commonwealth’s masking requirement differs from the cdc guidance on masking, which requires masking only when employees cannot maintain social distancing?",the governor and secretary of health have chosen to employ safety measures beyond the cdc. employees must wear masks at all times except when isolated from others in a private space or when it adversely affects their health.
"will ingesting or injecting disinfectants, like the ones that kill viruses on surfaces, protect me against coronavirus or kill coronavirus if i already have it?","“that’s a bad idea,” said dr. colleen kraft, an infectious diseases professor at emory university school of medicine. “it could definitely kill you.” president donald trump wondered aloud during a press conference whether there’s “a way we can do something like that, by injection inside or almost a cleaning.” but the reckitt benckiser group, which produces lysol cleaning products, said “under no circumstance” should disinfectants be put into the human body."
where can i find more information about symptoms and illness associated with covid-19?,check out the following website(s): vdh what to do if you have confirmed or suspected coronavirus disease (covid-19)? cdc covid-19 symptoms website
stay 6 ft (1.8 m) away from your family member when in the same room.,"you're probably doing your best to care for your family member, so there may be times when you have to be in the same room. germs from coughs and sneezes can spread up to 6 ft (1.8 m), so it’s important to distance yourself from a family member who’s sick. when you enter their room or are providing care, do your best to maintain your distance as much as possible."
have an underwater adventure with a reef or aquarium live cam.,"even if you’re missing out on a tropical diving expedition right now, you can still visit the reef virtually from the comfort of your home. check out live cams from the monterey or georgia aquariums, or visit a wild reef cam at explore.org. some aquariums, like the new england aquarium, also have live presentations from their researchers and staff!"
disinfect objects and surfaces you come into contact with.,"once a day, use a household cleaning product, such as a disinfectant wipe or general-purpose cleaner, to clean surfaces that you use regularly throughout the day. this includes things like doorknobs, counters, tabletops, light switches, and toilet seats. wash anything you put in your mouth, such as eating utensils or thermometers, with soap and hot water."
dispose of your mask if it gets hard to breathe through.,"sometimes, pollution in the air can clog the holes in your mask and make it difficult to get air in and out. if it’s hard to breathe through your mask, throw it away and try out a new one. masks can be hot and uncomfortable to wear, but they shouldn’t ever hinder you from taking a full breath."
what is quarantine? and why is 14 days recommended for covid-19?,"quarantine, in general, means the separation of a person or group of people reasonably believed to have been exposed to a communicable disease but not yet symptomatic, from others who have not been so exposed, to prevent the possible spread of the communicable disease. it is recommended by the cdc to quarantine for 14 days because symptoms usually emerge 2-14 days after exposure."
what are the symptoms of covid-2019?,"people who are infected with covid-19 have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2-14 days after exposure. call your health care provider for medical advice if you think you have been exposed to covid-19 and develop a fever and symptoms, such as cough or difficulty breathing."
avoid touching the mask while it’s on your face.,"while you’re out and about, try to keep your hands away from your face as best you can. avoid touching your mask to take it off, pull it down, or adjust it so you don’t contaminate your hands. if you do touch your mask, use some alcohol-based hand sanitizer to clean your hands."
wear gloves.,"since you will give the tsa officers your boarding pass and your id and there will be physical contact in the airport, you should wear gloves. the gloves should be changed each hour, and your hands should not touch your face ever in a place like an airport."
are certain racial or ethnic groups at a higher risk of developing severe illness with covid-19?,"african americans are more likely to acquire and die from complications of the covid-19 virus because blacks suffer from higher rates of chronic medical conditions like diabetes and obesity, high blood pressure, heart and kidney disease and asthma. all of these lower the immune system and the ability to fight off viruses. additionally, lifestyle factors like being an essential worker and even using public transportation increase the risk of getting covid-19."
so when are we getting a vaccine?,vaccines are in development. right now the hopeful timeline is summer/fall 2021. all this is caveated – because we are still learning about what antibodies mean.
are neighbors notified of the presence of such a person of risk?,"no, neighbors are not notified. vdh keeps protected health information private in order to protect each person’s confidentiality."
how do i know if my business is considered critical?,"the department of homeland security developed a listexternal icon of essential critical infrastructure employees to help state and local officials as they work to protect their communities, while ensuring continuity of functions critical to public health and safety as well as economic and national security. state and local officials make the final determinations for their jurisdictions about critical infrastructure employees."
"cut back on streaming video during school hours, especially if you live in an area with lots of kids or college students.","while it may be tempting to binge watch a show all day, keep in mind that some of your neighbors may be attending school via video. reducing bandwidth usage can make the internet more reliable for students who live nearby."
do i have to complete an interview?,"no. you are not required to do an interview, but we hope you will talk to us. the information we ask for will help prevent the spread of covid-19 to others."
are people of non-u.s. descent at higher risk for getting or spreading covid-19?,"no. like any other virus, no identity, community, ethnic, or racial group is more at risk for getting or spreading covid-19."
what is your guidance for childcare workers?,the department of social services has issued recommendations including encouraging families to remain at home to care for their children if possible and limiting capacity to 10 individuals per room to include staff. guidance for childcare workers can be found at dss faq for child care services
who is required to wear face coverings/masks?,the new face covering/mask order applies to everyone 10 and over and includes: all brick and mortar retail establishments all personal care and grooming establishments inside any places where people congregate inside food and beverage establishments on public transportation when accessing state or local government services
i have a usda rural development loan or grant. am i an essential worker? can i continue to implement usda funding during stay-at-home orders from my state or local government?,"usda does not determine whether or not our customers are essential workers. customers, please contact your local or state government for more information."
will nih defer issuing new foas for non-covid-19 activities? there is a concern in the community for how nih will address new opportunities and the inability for some research institutions/entities to competitively apply for these foas?,"nih ics will consider delaying new funding opportunities for the remainder of fy 2020 to fy2021, as appropriate."
who decides if quarantine is needed for the resident?,if a resident is found to have covid-19 your local health department will decide if quarantine is needed and the where the location will be.
what is the viral pcr test and when is it used?,"when someone is suspected of having covid-19, a viral pcr test is administered. this test is a diagnostic tool. a positive result means it’s confirmed that the patient has or has recently had covid-19."
what is changing in safer at home phase 2?,face coverings will be required in public places with some exceptions. view frequently asked questions about face coverings view guidance on wearing face coverings
try virtual tours from google arts & culture.,"with google arts & culture, you can access over 1200 museums and archival collections from around the world. these include 360° video tours of museum exhibits and artifacts, street views of famous landmarks, collections from specific artists, and in-depth exploration of historical events. with that much content, there will always be something new to dig into! to learn more, visit https://artsandculture.google.com/explore."
my institution is conducting a clinical trial or human subject study and has experienced delays in irb approvals due to covid-19. who should we contact?,"the recipient institution should notify the funding ic of any delays to clinical trials and human subjects studies, and nih will work with the recipient to provide support and address any impact on the nih-funded research. nih is committed to working with recipients during this public health emergency, and our top concern is for the safety and welfare of human subject participants and research staff."
will the office of the chief economist continue to release the weekly weather report and other reports on schedule?,"oce meteorologists fully anticipate to continue to publish the weekly weather and crop bulletin in partnership with the national weather service's climate prediction center. the weekly weather report is released at 4:00 pm every tuesday on oce's website www.usda.gov/oce/weather/pubs/weekly/wwcb/wwcb.pdf (pdf, 24 mb). if unforeseen conditions necessitate a change in our reports schedule, we will announce those changes to the media, on our website and on twitter as soon as they are available."
pair different colors or patterns so it’s easy to identify the front.,"wearing a face mask when you go out could get annoying, but a fun print might make it more fun. additionally, accidentally wearing your mask inside out might expose you to germs, so having 2 different fabrics provides added protection. use a patterned fabric on at least 1 side of your mask."
"if a company is staggering breaks, but not staggering shift start/stop times, would they then be required to implement those as well?","employers should take all possible steps to encourage social distancing, including staggering shift start/stop times, as well as staggering breaks."
organize or attend a movie watching party with friends.,"you can’t go to the theater or even invite friends over for a movie night, but that doesn’t mean you can’t watch your favorite movies and shows together. install the netflix party extension to set up a group viewing experience on your computer, or hop on metastream or kast to access multiple streaming platforms through a single app! if you really want to see your friends’ faces, you can video chat and watch netflix at the same time with the scene extension."
avoid sharing the elevator with people who don't share your home.,"taking turns may help reduce your exposure. try letting people from one household finish before you take your turn. if you need to share with someone else not from your household, stand away from them."
should i be concerned about the coronavirus? how dangerous is it? is it treatable? what are the symptoms?,chla has a separate blog post that helps explain the basics of the novel coronavirus available here: what you should know about the novel coronavirus disease (covid-19)
until when should i wear a mask after recovering from an illness with respiratory    symptoms?,"in order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. you should only stop after a complete recovery (which means 24-48 hours after having no symptoms without medication)."
how do i get my covid-19 test results?,"the amount of time it takes to get your test results back varies. for information regarding your test, contact the testing facility that ordered or collected the test. the covid-19 call center cannot provide results, or provide a status update."
add sour cream to your favorite baked goods.,"sour cream adds moisture and richness to cakes, muffins, cookies, and more. for instance, you might add about 1 cup (240 ml) of sour cream to your favorite cake recipe to make it nice and rich without affecting the liquid balance of the recipe.  sour cream is also delicious when added to vinaigrettes, tossed with pasta, or mixed into scrambled eggs."
make a dedicated work area.,"having a spot that you go specifically to work can help you get in the right mindset to get things done. in addition, it can help signal to your other family members that you need to focus, so they may be less likely to interrupt you. for instance, if you don't have a desk, you might set up your laptop at the end of your dining table during your work hours."
is cleaning alone effective against the virus that causes covid-19?,"cleaning does not kill germs, but by removing them, it lowers their numbers and the risk of spreading infection. if a surface may have gotten the virus on it from a person with or suspected to have covid-19, the surface should be cleaned and disinfected. disinfecting kills germs on surfaces."
is it safe to give ibuprofen to patients with covid-19?,"there is currently no scientific evidence to show that taking ibuprofen while sick with covid-19 will lead to worsening illness. for persons looking for a medication to reduce their fever, acetaminophen might be preferable. both acetaminophen and ibuprofen, like any other medication, can have serious side effects and healthcare providers should use their clinical judgement to determine the most appropriate treatment for their patient."
will nass reports be released according to schedule?,"at this time, all reports remain on schedule. while we are making every effort to continue delivering federal agricultural statistics, the health and safety of our employees and producers is our first priority. we will evaluate each nass report as conditions change and will announce any changes to our report schedule by announcement to the media, our website and twitter as soon as they are available."
practice safe social distancing measures when you’re outside.,"stand at least 3 ft (0.91 m) apart from the people around you so you aren’t sharing the same airspace. you can also go the extra mile by standing at least 6 ft (1.8 m) from the people around you. if you’re a safe distance away, you aren’t as likely to spread coronavirus asymptomatically."
will members lose coverage during the covid-19 emergency?,"no, per the families first coronavirus response act, ahcccs will not disenroll members during the emergency (with the exception of death, those who move out of state, or those who voluntarily withdraw)."
i’m not comfortable going shopping in person because i cannot wear a face covering for medical or     disability-related reasons. are there any resources to help me with my shopping?,"delivery services offered by retail and grocery stores are good options for people who are not comfortable shopping   in person. there are also free resources like helpinghands.community,   a community-based non-profit that provides delivery and other support services."
what is the risk of my child becoming sick with covid-19?,"based on available evidence, children do not appear to be at higher risk for covid-19 than adults. while some children and infants have been sick with covid-19, adults make up most of the known cases to date. you can learn more about who is most at risk for health problems if they have covid-19 infection on cdcs current risk assessment page."
are there people who shouldn’t wear a mask?,"yes. children under 2 years old should not wear cloth face coverings. also, anyone who has trouble breathing or who is unconscious, incapacitated or unable to remove the cloth face covering without help should not wear one."
post visual reminders to not touch your face or pick.,"place sticky notes that say ""no touching or picking"" on your bathroom mirror, the visor mirror in your car, the tv remote, or anywhere else where you’re likely to see it. it helps to post these reminders in locations where you’re tempted to touch or pick at your face. you can even set hourly alarms on your phone to remind you to not pick if you’re prone to do so at certain times of the day."
call your friends and family members on days you don’t have plans.,"if no one can hang out with you and you’re really craving some social interaction, try calling up a close friend or family member on the phone. you can chat about your day, what’s new in your life, or set up a time to see them sometime soon. you can even try video chatting with people to get some face-to-face interaction."
"what measures will be taken to ensure adequate physical distancing is maintained during fire drills, false alarms, or actual emergencies in dnd/caf facilities?","in the event of a fire or building evacuation (drills, alarms or otherwise) all staircases may be used in the down direction to permit personnel to exit the building quickly and in an orderly fashion. personnel are encouraged to maintain the two-metre physical distancing if possible and only if it does not impede safe evacuation."
can occupational therapists (ots) provide telehealth services?,"yes. please continue to monitor governor cuomo’s executive orders, the new york state department of health’s website and the information on this website regarding telepractice services. for additional guidance, please refer to the american occupational therapy association (aota) resources."
"exercise regularly, eat a balanced diet, and drink a lot of water.","taking care of your body is super important, even though it can be tough to do so when you’re stressed. try to exercise three to four times per week, eat a balanced diet with a lot of whole grains, proteins, fruits, and vegetables, and drink water every time you’re thirsty. try bringing a water bottle to school with you so you have it when you need it."
